ID,NOME,ANO_PESQUISA,INSTITUICAO_ENSINO_ALUNO,BOLSISTA,ANOS_PM,FASE,TURMA,PONTO_VIRADA,INDE,PEDRA,IAA,IEG,IPS,IDA,IPP,IPV,IAN,NIVEL_IDEAL,DEFASAGEM
877,ALUNO-877,2020,Escola Pública,0,1,2,M,Não,7.543,Ametista,8.0,8.3,7.5,7.5,7.5,7.917,5.0,,
880,ALUNO-880,2020,Escola Pública,0,1,2,F,Não,4.811,Quartzo,7.417,5.8,5.0,0.5,6.875,5.611,5.0,,
886,ALUNO-886,2020,Escola Pública,0,0,0,C,Não,8.717,Topázio,10.0,10.0,7.5,8.5,7.5,7.583,10.0,,
888,ALUNO-888,2020,Escola Pública,0,0,1,K,Não,6.594,Ágata,8.5,7.9,7.5,0.0,7.917,8.111,10.0,,
889,ALUNO-889,2020,Escola Pública,0,1,2,D,Não,7.634,Ametista,9.0,8.7,7.5,7.0,8.438,7.5,5.0,,
890,ALUNO-890,2020,Escola Pública,0,2,2,R,Não,6.868,Ágata,9.0,7.9,6.875,5.5,6.667,7.167,5.0,,
892,ALUNO-892,2020,Escola Pública,0,1,1,E,Não,7.698,Ametista,9.5,9.4,7.5,6.5,7.292,7.944,5.0,,
894,ALUNO-894,2020,Escola Pública,0,2,5,A,Não,8.799,Topázio,10.0,9.4,8.125,8.0,8.958,8.056,10.0,,
898,ALUNO-898,2020,Escola Pública,0,3,2,M,Não,7.105,Ágata,6.917,7.9,4.375,7.5,8.125,7.917,5.0,,
899,ALUNO-899,2020,Escola Pública,0,1,1,D,Não,7.813,Ametista,8.0,9.5,7.5,7.5,8.125,7.75,5.0,,
902,ALUNO-902,2020,Escola Pública,0,1,0,A,Não,7.717,Ametista,9.0,10.0,7.5,8.0,2.5,6.083,10.0,,
903,ALUNO-903,2020,Escola Pública,0,0,1,M,Não,8.886,Topázio,9.0,9.2,7.5,10.0,8.125,7.917,10.0,,
904,ALUNO-904,2020,Escola Pública,0,0,3,A,Não,7.939,Ametista,9.583,8.5,7.5,7.0,7.969,6.667,10.0,,
906,ALUNO-906,2020,Rede Decisão/União,1,3,4,A,Sim,8.928,Topázio,10.0,10.0,10.0,7.667,9.167,9.889,5.0,,
907,ALUNO-907,2020,Escola Pública,0,0,1,C,Não,8.118,Ametista,9.5,8.8,7.5,7.0,7.917,7.333,10.0,,
908,ALUNO-908,2020,Escola Pública,0,1,2,B,Não,7.157,Ágata,7.417,7.7,6.875,7.5,6.875,7.5,5.0,,
909,ALUNO-909,2020,Escola Pública,0,1,2,H,Não,6.241,Ágata,9.5,6.3,7.5,2.0,7.812,8.0,5.0,,
910,ALUNO-910,2020,Escola Pública,0,4,5,G,Não,4.329,Quartzo,9.583,0.8,3.125,1.333,7.812,6.75,5.0,,
911,ALUNO-911,2020,Escola Pública,0,1,3,A,Não,6.597,Ágata,5.833,8.1,3.75,7.667,7.188,6.333,5.0,,
912,ALUNO-912,2020,Escola Pública,0,1,4,A,Não,4.746,Quartzo,9.167,1.0,7.5,2.667,8.125,5.167,5.0,,
916,ALUNO-916,2020,Rede Decisão/União,1,3,3,L,Sim,8.508,Topázio,7.917,8.7,7.5,7.0,8.594,9.833,10.0,,
917,ALUNO-917,2020,FIAP,1,1,8,A,Não se Aplica,8.893,Ametista,8.333,10.0,7.5,8.9,0.0,0.0,10.0,,
919,ALUNO-919,2020,Escola Pública,0,0,5,A,Não,7.131,Ágata,8.75,6.0,7.5,5.333,7.5,7.444,10.0,,
920,ALUNO-920,2020,Rede Decisão/União,1,2,4,F,Sim,7.589,Ametista,7.083,9.4,4.375,7.0,7.969,9.333,5.0,,
922,ALUNO-922,2020,Escola Pública,0,1,2,H,Sim,7.288,Ametista,8.5,8.7,4.375,4.5,5.938,8.833,10.0,,
923,ALUNO-923,2020,Escola Pública,0,0,0,E,Não,7.4,Ametista,9.0,10.0,5.0,9.0,2.5,4.75,10.0,,
926,ALUNO-926,2020,Escola Pública,0,2,2,G,Não,7.649,Ametista,9.5,9.5,5.0,8.5,6.875,7.056,5.0,,
927,ALUNO-927,2020,Escola Pública,0,0,1,K,Não,8.538,Topázio,8.5,8.0,7.5,10.0,7.708,7.833,10.0,,
928,ALUNO-928,2020,Escola Pública,0,1,7,A,Sim,8.297,Ametista,8.75,8.1,7.5,6.833,8.438,9.208,10.0,,
929,ALUNO-929,2020,Escola Pública,0,2,4,F,Não,4.466,Quartzo,8.75,0.0,7.5,0.0,7.656,5.375,10.0,,
930,ALUNO-930,2020,Escola Pública,0,1,4,A,Sim,8.373,Ametista,9.583,9.1,9.375,8.0,8.125,8.722,5.0,,
931,ALUNO-931,2020,Escola Pública,0,1,0,F,Não,8.231,Ametista,9.0,10.0,7.5,9.5,7.812,7.0,5.0,,
932,ALUNO-932,2020,Escola Pública,0,3,2,D,Não,7.526,Ametista,8.0,9.1,6.25,7.5,7.812,7.5,5.0,,
935,ALUNO-935,2020,Escola Pública,0,0,0,G,Não,9.065,Topázio,10.0,10.0,10.0,9.0,7.812,7.417,10.0,,
937,ALUNO-937,2020,Escola Pública,0,2,1,H,Não,8.427,Ametista,9.5,9.4,7.5,10.0,7.917,7.778,5.0,,
938,ALUNO-938,2020,Escola Pública,0,4,3,F,Não,8.384,Ametista,9.583,9.4,4.375,9.0,7.083,8.0,10.0,,
940,ALUNO-940,2020,Escola Pública,0,1,0,D,Não,7.746,Ametista,9.5,10.0,6.25,7.25,6.875,7.667,5.0,,
942,ALUNO-942,2020,Escola Pública,0,2,3,F,Não,7.336,Ametista,9.167,8.5,5.0,6.333,7.083,6.222,10.0,,
943,ALUNO-943,2020,Escola Pública,0,0,1,A,Não,7.941,Ametista,8.5,8.8,7.5,6.25,7.812,7.75,10.0,,
944,ALUNO-944,2020,Escola Pública,0,3,3,H,Não,5.51,Quartzo,9.583,2.6,6.875,4.333,8.333,5.722,5.0,,
948,ALUNO-948,2020,Escola Pública,0,2,2,C,Não,7.361,Ametista,8.5,8.9,7.5,6.0,7.917,7.444,5.0,,
950,ALUNO-950,2020,Rede Decisão/União,1,2,7,A,Sim,8.162,Ametista,9.167,9.6,7.5,4.833,7.5,9.292,10.0,,
951,ALUNO-951,2020,Escola Pública,0,0,5,B,Não,7.077,Ágata,7.917,8.8,7.5,6.0,7.083,6.833,5.0,,
953,ALUNO-953,2020,UNISA,1,4,8,A,Não se Aplica,8.418,Ametista,9.583,10.0,7.5,7.4,0.0,0.0,10.0,,
957,ALUNO-957,2020,Escola Pública,0,1,1,N,Não,7.672,Ametista,7.417,9.2,7.5,7.5,7.292,8.056,5.0,,
958,ALUNO-958,2020,Rede Decisão/União,1,2,3,J,Sim,8.426,Ametista,9.167,9.5,8.125,8.0,8.75,9.111,5.0,,
961,ALUNO-961,2020,Escola Pública,0,1,1,N,Não,8.659,Topázio,9.5,9.4,4.375,10.0,7.917,8.0,10.0,,
962,ALUNO-962,2020,Rede Decisão/União,1,3,3,F,Não,5.501,Quartzo,9.167,6.4,4.375,1.333,6.667,4.667,10.0,,
964,ALUNO-964,2020,Escola Pública,0,0,1,F,Não,8.033,Ametista,9.5,8.1,7.5,9.0,8.125,8.0,5.0,,
965,ALUNO-965,2020,Escola Pública,0,2,2,P,Não,7.074,Ágata,9.0,9.0,6.875,3.5,8.75,8.056,5.0,,
968,ALUNO-968,2020,Escola Pública,0,0,3,J,Não,5.581,Quartzo,5.833,7.3,6.25,3.667,7.292,6.0,2.5,,
970,ALUNO-970,2020,Escola Pública,0,2,2,M,Não,7.184,Ágata,9.5,6.9,7.5,7.0,6.875,7.583,5.0,,
973,ALUNO-973,2020,Escola Pública,0,1,1,N,Não,8.116,Ametista,9.5,6.2,7.5,10.0,6.875,7.444,10.0,,
983,ALUNO-983,2020,Rede Decisão/União,1,2,2,N,Não,7.79,Ametista,9.0,9.9,3.75,5.5,8.125,8.111,10.0,,
984,ALUNO-984,2020,Escola Pública,0,3,1,H,Não,5.311,Quartzo,9.5,4.3,7.5,0.0,7.292,7.611,5.0,,
986,ALUNO-986,2020,Escola Pública,0,2,4,F,Não,7.0,Ágata,9.167,4.2,7.5,6.333,8.438,6.917,10.0,,
989,ALUNO-989,2020,Escola Pública,0,0,2,P,Não,7.887,Ametista,9.5,9.6,7.5,7.0,8.333,7.667,5.0,,
991,ALUNO-991,2020,Escola Pública,0,1,2,N,Não,6.799,Ágata,9.0,7.9,6.25,2.5,7.5,7.222,10.0,,
992,ALUNO-992,2020,Escola Pública,0,1,0,F,Não,7.32,Ametista,9.0,5.6,7.5,9.5,7.5,7.0,5.0,,
993,ALUNO-993,2020,Rede Decisão/União,1,2,5,F,Não,7.526,Ametista,7.083,8.3,4.375,6.0,8.281,8.458,10.0,,
994,ALUNO-994,2020,Escola Pública,0,1,2,F,Não,8.677,Topázio,9.5,9.4,6.875,9.0,7.708,7.944,10.0,,
996,ALUNO-996,2020,Rede Decisão/União,1,2,2,G,Não,7.736,Ametista,9.0,7.3,7.5,6.0,7.708,8.278,10.0,,
997,ALUNO-997,2020,Escola Pública,0,1,1,A,Não,8.983,Topázio,9.0,9.6,10.0,9.0,8.125,7.75,10.0,,
999,ALUNO-999,2020,Rede Decisão/União,1,2,3,G,Não,7.004,Ágata,8.333,5.8,3.125,7.333,6.875,7.722,10.0,,
1002,ALUNO-1002,2020,Escola Pública,0,0,3,J,Não,8.115,Ametista,9.167,9.4,7.5,8.333,8.125,7.944,5.0,,
1003,ALUNO-1003,2020,Escola Pública,0,1,3,C,Não,7.599,Ametista,9.583,6.8,7.5,8.0,8.75,7.778,5.0,,
1004,ALUNO-1004,2020,Escola Pública,0,0,0,H,Não,7.675,Ametista,9.0,10.0,6.25,9.0,2.5,5.5,10.0,,
1006,ALUNO-1006,2020,Escola Pública,0,1,1,H,Não,7.811,Ametista,9.0,9.4,7.5,7.5,7.917,7.444,5.0,,
1007,ALUNO-1007,2020,Escola Pública,0,1,2,P,Não,7.527,Ametista,9.5,8.3,7.5,4.0,8.333,7.667,10.0,,
1010,ALUNO-1010,2020,Escola Pública,0,1,1,B,Não,8.582,Topázio,9.0,9.9,5.0,10.0,7.188,7.417,10.0,,
1012,ALUNO-1012,2020,Escola Pública,0,0,1,M,Não,8.766,Topázio,8.0,9.1,7.5,10.0,8.125,7.917,10.0,,
1014,ALUNO-1014,2020,Escola Pública,0,1,1,N,Não,6.964,Ágata,8.0,8.6,7.5,5.0,7.5,7.222,5.0,,
1015,ALUNO-1015,2020,Escola Pública,0,2,3,R,Sim,8.053,Ametista,9.167,7.2,7.5,6.667,8.125,9.0,10.0,,
1016,ALUNO-1016,2020,Escola Pública,0,1,2,E,Não,7.434,Ametista,8.5,9.6,7.5,6.0,7.917,7.111,5.0,,
1017,ALUNO-1017,2020,Rede Decisão/União,1,2,2,J,Não,8.474,Ametista,9.0,8.8,7.5,8.5,7.083,8.278,10.0,,
1018,ALUNO-1018,2020,Escola Pública,0,0,5,L,Não,4.995,Quartzo,8.333,4.9,7.5,0.0,8.542,5.389,5.0,,
1019,ALUNO-1019,2020,Escola Pública,0,0,5,A,Não,6.253,Ágata,6.25,6.5,7.5,4.333,8.333,6.889,5.0,,
1020,ALUNO-1020,2020,FIAP,1,3,8,A,Não se Aplica,6.25,Quartzo,8.75,0.0,6.875,7.5,0.0,0.0,10.0,,
1021,ALUNO-1021,2020,Escola Pública,0,1,2,M,Não,6.783,Ágata,9.0,7.8,6.875,4.5,7.188,7.583,5.0,,
1022,ALUNO-1022,2020,Escola Pública,0,0,0,F,Não,8.78,Topázio,10.0,9.9,7.5,9.0,7.5,7.5,10.0,,
1024,ALUNO-1024,2020,Escola Pública,0,0,5,L,Não,3.762,Quartzo,7.5,2.2,3.125,0.0,7.708,4.944,5.0,,
1027,ALUNO-1027,2020,Rede Decisão/União,1,4,5,G,Sim,8.07,Ametista,8.75,9.0,4.375,6.333,8.906,9.0,10.0,,
1028,ALUNO-1028,2020,Escola Pública,0,1,2,C,Não,7.734,Ametista,9.5,9.1,7.5,7.5,7.917,7.111,5.0,,
1029,ALUNO-1029,2020,Escola Pública,0,1,1,D,Sim,8.353,Ametista,9.5,8.7,7.5,9.0,8.125,9.0,5.0,,
1031,ALUNO-1031,2020,Escola Pública,0,0,0,B,Sim,9.167,Topázio,9.0,10.0,7.5,10.0,7.5,8.833,10.0,,
1034,ALUNO-1034,2020,Escola Pública,0,1,2,N,Não,7.751,Ametista,8.0,8.5,7.5,5.5,8.125,7.944,10.0,,
1035,ALUNO-1035,2020,Escola Pública,0,0,1,C,Não,8.263,Ametista,9.5,9.4,7.5,10.0,7.5,7.167,5.0,,
1036,ALUNO-1036,2020,Escola Pública,0,0,1,E,Não,4.702,Quartzo,8.417,3.3,6.875,0.0,6.458,6.833,5.0,,
1041,ALUNO-1041,2020,Escola Pública,0,1,3,M,Não,7.794,Ametista,8.75,5.4,7.5,8.667,7.969,7.792,10.0,,
1046,ALUNO-1046,2020,Escola Pública,0,2,3,R,Sim,7.993,Ametista,7.5,9.3,7.5,7.667,8.333,8.833,5.0,,
1047,ALUNO-1047,2020,Escola Pública,0,2,4,L,Não,4.834,Quartzo,7.5,2.1,7.5,0.0,7.917,5.611,10.0,,
1051,ALUNO-1051,2020,Escola Pública,0,1,3,F,Não,6.254,Ágata,9.167,2.8,7.5,3.667,7.5,7.722,10.0,,
1056,ALUNO-1056,2020,Escola Pública,0,1,3,L,Não,4.337,Quartzo,7.5,3.7,4.375,2.667,6.094,5.083,2.5,,
1061,ALUNO-1061,2020,Escola Pública,0,2,2,C,Não,7.94,Ametista,9.5,8.5,6.875,9.0,7.917,7.556,5.0,,
1067,ALUNO-1067,2020,Escola Pública,0,2,0,D,Não,8.313,Ametista,8.5,10.0,7.5,9.5,8.125,7.5,5.0,,
1070,ALUNO-1070,2020,Escola Pública,0,1,0,E,Não,7.633,Ametista,8.5,10.0,7.5,9.5,5.0,5.667,5.0,,
1072,ALUNO-1072,2020,Escola Pública,0,0,3,C,Não,8.193,Ametista,8.75,8.3,7.5,7.333,8.75,7.833,10.0,,
1075,ALUNO-1075,2020,Rede Decisão/União,1,4,4,A,Não,8.796,Topázio,9.167,9.8,10.0,6.667,8.75,8.556,10.0,,
1077,ALUNO-1077,2020,Escola Pública,0,0,0,C,Não,8.254,Ametista,9.5,10.0,7.5,7.5,6.875,6.833,10.0,,
1078,ALUNO-1078,2020,Escola Pública,0,1,1,J,Não,7.804,Ametista,7.417,8.0,6.875,10.0,7.083,7.833,5.0,,
1079,ALUNO-1079,2020,Escola Pública,0,1,1,J,Não,6.603,Ágata,9.0,6.7,7.5,4.25,7.292,7.667,5.0,,
1081,ALUNO-1081,2020,Escola Pública,0,3,5,G,Não,5.254,Quartzo,8.333,6.7,3.125,4.0,6.094,4.292,5.0,,
1084,ALUNO-1084,2020,Escola Pública,0,1,0,D,Não,8.308,Ametista,9.0,10.0,4.375,9.0,6.875,7.417,10.0,,
1085,ALUNO-1085,2020,Escola Pública,0,1,3,M,Não,6.205,Ágata,9.167,5.5,7.5,3.333,7.969,7.375,5.0,,
1087,ALUNO-1087,2020,Escola Pública,0,2,2,L,Não,7.635,Ametista,7.5,8.6,7.5,6.0,7.708,7.222,10.0,,
1088,ALUNO-1088,2020,Escola Pública,0,2,5,L,Não,6.117,Ágata,8.75,4.8,7.5,2.667,8.542,8.222,5.0,,
1089,ALUNO-1089,2020,Escola Pública,0,1,0,B,Sim,8.9,Topázio,9.5,10.0,7.5,8.5,10.0,10.0,5.0,,
1090,ALUNO-1090,2020,Escola Pública,0,2,1,N,Não,6.612,Ágata,7.0,4.6,7.5,8.0,7.083,7.167,5.0,,
1092,ALUNO-1092,2020,Escola Pública,0,1,6,A,Não,5.31,Quartzo,0.0,4.9,7.5,2.0,7.969,6.917,10.0,,
1093,ALUNO-1093,2020,Rede Decisão/União,1,4,5,B,Não,7.298,Ametista,9.167,9.1,7.5,5.333,8.333,7.056,5.0,,
1094,ALUNO-1094,2020,Escola Pública,0,1,2,D,Não,8.041,Ametista,9.0,9.3,7.5,8.5,7.812,7.75,5.0,,
1095,ALUNO-1095,2020,Escola Pública,0,1,0,B,Não,9.117,Topázio,10.0,10.0,7.5,10.0,7.5,8.083,10.0,,
1097,ALUNO-1097,2020,Rede Decisão/União,1,3,3,B,Não,7.819,Ametista,9.583,7.4,7.5,6.667,7.969,7.5,10.0,,
1100,ALUNO-1100,2020,FIAP,1,2,8,A,Não se Aplica,8.977,Topázio,9.167,10.0,7.5,8.9,0.0,0.0,10.0,,
1103,ALUNO-1103,2020,Escola Pública,0,4,2,H,Não,6.395,Ágata,7.917,8.9,4.375,3.5,4.688,8.583,5.0,,
1105,ALUNO-1105,2020,Escola Pública,0,4,1,D,Não,7.649,Ametista,7.5,9.4,7.5,7.5,7.188,7.75,5.0,,
1106,ALUNO-1106,2020,Escola Pública,0,1,0,E,Sim,7.734,Ametista,9.0,9.9,4.375,9.5,2.5,8.833,5.0,,
1110,ALUNO-1110,2020,Escola Pública,0,1,1,A,Não,7.853,Ametista,9.5,7.7,7.5,8.5,8.125,8.0,5.0,,
1112,ALUNO-1112,2020,Escola Pública,0,2,6,B,Não,6.81,Ágata,7.917,5.8,6.25,4.5,7.5,7.917,10.0,,
1119,ALUNO-1119,2020,Escola Pública,0,1,1,A,Não,8.541,Topázio,10.0,8.8,7.5,9.0,7.812,7.25,10.0,,
1123,ALUNO-1123,2020,Rede Decisão/União,1,1,3,J,Sim,8.266,Ametista,8.333,8.7,6.875,8.333,9.167,9.611,5.0,,
1127,ALUNO-1127,2020,Escola Pública,0,2,2,B,Sim,7.357,Ametista,8.0,8.2,7.5,6.5,5.0,9.333,5.0,,
1128,ALUNO-1128,2020,Rede Decisão/União,1,2,4,E,Sim,8.229,Ametista,9.167,5.5,10.0,6.667,9.375,9.708,10.0,,
1129,ALUNO-1129,2020,Rede Decisão/União,1,1,2,F,Não,8.035,Ametista,9.0,9.1,5.0,8.0,7.708,7.222,10.0,,
1130,ALUNO-1130,2020,Escola Pública,0,1,2,N,Não,8.789,Topázio,9.5,9.7,6.875,9.0,8.333,7.889,10.0,,
1131,ALUNO-1131,2020,Escola Pública,0,1,3,B,Não,7.046,Ágata,9.583,8.1,6.25,4.0,7.344,6.542,10.0,,
1132,ALUNO-1132,2020,Rede Decisão/União,1,1,6,C,Não,7.131,Ágata,7.5,8.0,6.25,6.167,7.812,8.208,5.0,,
1133,ALUNO-1133,2020,Escola Pública,0,1,6,A,Não,5.431,Quartzo,0.0,4.5,6.25,5.833,7.812,7.292,5.0,,
1134,ALUNO-1134,2020,Escola Pública,0,1,3,A,Não,7.179,Ágata,9.583,6.7,7.5,4.833,7.969,6.833,10.0,,
1136,ALUNO-1136,2020,Escola Pública,0,1,4,E,Não,7.738,Ametista,9.583,7.2,5.0,7.667,7.812,7.625,10.0,,
1137,ALUNO-1137,2020,UNISA,1,1,8,A,Não se Aplica,9.338,Topázio,9.583,10.0,7.5,9.7,0.0,0.0,10.0,,
1139,ALUNO-1139,2020,Escola Pública,0,1,2,C,Não,7.493,Ametista,6.917,8.9,7.5,7.5,7.708,7.5,5.0,,
1141,ALUNO-1141,2020,Escola Pública,0,1,2,D,Não,6.981,Ágata,8.5,7.0,7.5,6.0,7.812,7.5,5.0,,
1142,ALUNO-1142,2020,Escola Pública,0,3,6,A,Não,5.969,Quartzo,7.5,7.0,6.25,3.167,7.188,6.708,5.0,,
1145,ALUNO-1145,2020,Escola Pública,0,0,3,J,Não,6.226,Ágata,9.167,6.1,6.875,4.667,8.125,5.778,5.0,,
1148,ALUNO-1148,2020,Escola Pública,0,2,4,F,Não,3.065,Quartzo,6.667,1.2,2.5,0.0,5.0,4.542,5.0,,
1149,ALUNO-1149,2020,Escola Pública,0,1,0,E,Não,7.029,Ágata,9.5,10.0,5.625,9.0,2.5,4.833,5.0,,
1150,ALUNO-1150,2020,Escola Pública,0,2,1,H,Não,8.674,Topázio,9.5,8.8,7.5,9.5,7.917,7.611,10.0,,
1156,ALUNO-1156,2020,Escola Pública,0,1,3,B,Não,8.281,Ametista,8.333,9.0,7.5,8.667,7.812,6.917,10.0,,
1158,ALUNO-1158,2020,UNISA,1,1,8,A,Não se Aplica,8.818,Ametista,9.583,10.0,7.5,8.4,0.0,0.0,10.0,,
1159,ALUNO-1159,2020,Escola Pública,0,1,3,F,Sim,8.552,Topázio,9.167,9.9,6.875,9.333,8.125,8.944,5.0,,
1161,ALUNO-1161,2020,Escola Pública,0,2,3,L,Não,6.218,Ágata,10.0,7.8,4.375,4.667,5.625,6.125,5.0,,
1165,ALUNO-1165,2020,Escola Pública,0,1,2,D,Não,8.08,Ametista,8.0,9.9,7.5,9.0,7.5,7.5,5.0,,
1166,ALUNO-1166,2020,Escola Pública,0,3,2,E,Não,5.691,Quartzo,9.5,6.3,5.0,4.0,6.25,5.278,5.0,,
1167,ALUNO-1167,2020,Escola Pública,0,1,1,F,Não,7.628,Ametista,9.5,8.7,6.25,4.5,8.125,8.0,10.0,,
1168,ALUNO-1168,2020,Escola Pública,0,0,1,M,Não,8.044,Ametista,7.917,8.5,7.5,10.0,7.188,7.917,5.0,,
1170,ALUNO-1170,2020,Escola Pública,0,1,1,G,Não,8.179,Ametista,8.0,8.3,7.5,9.0,7.188,7.25,10.0,,
1171,ALUNO-1171,2020,Escola Pública,0,1,3,C,Sim,8.925,Topázio,9.583,9.5,6.25,8.333,8.75,9.5,10.0,,
1172,ALUNO-1172,2020,Escola Pública,0,2,1,D,Não,6.269,Ágata,9.5,5.0,7.5,4.5,7.188,7.25,5.0,,
1173,ALUNO-1173,2020,Escola Pública,0,1,5,B,Não,4.421,Quartzo,7.917,2.0,3.75,0.0,6.875,5.833,10.0,,
1174,ALUNO-1174,2020,Escola Pública,0,1,5,F,Sim,7.391,Ametista,7.083,7.0,6.875,5.0,8.281,8.833,10.0,,
1175,ALUNO-1175,2020,Escola Pública,0,0,1,K,Não,5.367,Quartzo,8.5,5.1,7.5,0.0,7.917,7.278,5.0,,
1176,ALUNO-1176,2020,Escola Pública,0,3,5,B,Não,8.233,Ametista,8.75,8.0,8.75,6.333,9.167,8.5,10.0,,
1178,ALUNO-1178,2020,Escola Pública,0,1,2,M,Não,5.693,Quartzo,8.0,3.1,6.875,4.25,7.188,7.583,5.0,,
1181,ALUNO-1181,2020,Escola Pública,0,1,0,D,Não,7.746,Ametista,9.0,10.0,5.625,10.0,2.5,7.667,5.0,,
1187,ALUNO-1187,2020,Escola Pública,0,1,2,G,Não,7.06,Ágata,9.0,8.1,7.5,4.5,8.125,7.889,5.0,,
1188,ALUNO-1188,2020,Escola Pública,0,1,7,A,Não,5.461,Quartzo,7.917,1.0,7.5,4.333,7.031,5.75,10.0,,
1189,ALUNO-1189,2020,UNISA,1,1,8,A,Não se Aplica,9.218,Topázio,9.583,10.0,7.5,9.4,0.0,0.0,10.0,,
1190,ALUNO-1190,2020,Escola Pública,0,1,2,N,Não,8.101,Ametista,8.5,9.6,6.875,8.0,6.875,6.778,10.0,,
1191,ALUNO-1191,2020,Rede Decisão/União,1,3,3,B,Não,6.828,Ágata,7.917,9.5,4.375,3.333,7.656,6.333,10.0,,
1193,ALUNO-1193,2020,Escola Pública,0,0,2,L,Não,6.913,Ágata,9.0,6.8,7.5,3.75,7.083,7.222,10.0,,
1195,ALUNO-1195,2020,Escola Pública,0,0,2,D,Não,8.154,Ametista,8.5,8.8,7.5,7.0,8.438,7.75,10.0,,
1197,ALUNO-1197,2020,Rede Decisão/União,1,4,6,A,Não,7.82,Ametista,8.75,8.8,6.25,5.333,8.438,8.25,10.0,,
1198,ALUNO-1198,2020,Escola Pública,0,0,1,K,Não,6.791,Ágata,9.0,5.8,5.0,7.5,7.083,7.611,5.0,,
1200,ALUNO-1200,2020,Escola Pública,0,2,6,B,Não,7.52,Ametista,7.917,7.6,6.25,5.833,7.5,8.333,10.0,,
1205,ALUNO-1205,2020,Escola Pública,0,1,1,A,Sim,8.963,Topázio,7.0,9.5,7.5,10.0,8.125,9.0,10.0,,
1215,ALUNO-1215,2020,Escola Pública,0,1,1,D,Sim,8.7,Topázio,10.0,9.5,7.5,10.0,7.5,9.0,5.0,,
1216,ALUNO-1216,2020,UNISA,1,1,8,A,Não se Aplica,7.218,Ágata,9.583,0.0,7.5,9.4,0.0,0.0,10.0,,
1217,ALUNO-1217,2020,Rede Decisão/União,1,4,3,A,Sim,8.443,Ametista,8.333,8.8,4.375,8.0,9.375,9.375,10.0,,
1218,ALUNO-1218,2020,Rede Decisão/União,1,3,7,B,Sim,8.841,Topázio,9.167,9.5,7.5,7.5,8.906,9.417,10.0,,
1219,ALUNO-1219,2020,Escola Pública,0,3,4,B,Sim,7.975,Ametista,8.333,9.7,7.5,3.833,8.958,8.944,10.0,,
1222,ALUNO-1222,2020,Rede Decisão/União,1,4,7,B,Não,7.534,Ametista,9.167,6.6,6.875,7.0,7.344,7.375,10.0,,
1223,ALUNO-1223,2020,Escola Pública,0,1,1,R,Sim,8.351,Ametista,8.5,8.6,7.5,9.5,8.75,8.778,5.0,,
1225,ALUNO-1225,2020,Escola Pública,0,1,2,P,Não,5.985,Quartzo,6.917,8.0,7.5,0.0,8.542,7.944,5.0,,
1226,ALUNO-1226,2020,Escola Pública,0,1,1,R,Não,8.13,Ametista,9.5,8.1,5.625,9.5,8.75,8.611,5.0,,
1228,ALUNO-1228,2020,Escola Pública,0,1,2,N,Não,7.6,Ametista,6.917,8.5,7.5,6.5,7.917,6.833,10.0,,
1229,ALUNO-1229,2020,Escola Pública,0,2,1,J,Não,7.918,Ametista,9.5,9.2,5.625,8.0,5.208,7.222,10.0,,
1230,ALUNO-1230,2020,Rede Decisão/União,1,3,3,L,Não,7.567,Ametista,6.25,9.7,7.5,4.667,8.438,7.375,10.0,,
1231,ALUNO-1231,2020,Escola Pública,0,3,2,E,Não,6.004,Quartzo,0.0,7.0,4.375,7.0,6.667,8.0,5.0,,
1232,ALUNO-1232,2020,Escola Pública,0,1,2,H,Não,6.009,Quartzo,9.5,8.2,7.5,0.0,7.188,7.25,5.0,,
1237,ALUNO-1237,2020,Escola Pública,0,1,2,G,Não,6.985,Ágata,7.917,8.3,7.5,5.5,7.5,7.167,5.0,,
1238,ALUNO-1238,2020,Escola Pública,0,2,1,F,Não,8.539,Topázio,7.417,8.8,7.5,10.0,6.875,8.0,10.0,,
1241,ALUNO-1241,2020,Escola Pública,0,2,2,G,Não,4.18,Quartzo,0.0,2.1,7.5,0.0,6.875,6.611,10.0,,
1244,ALUNO-1244,2020,Escola Pública,0,1,1,B,Não,8.743,Topázio,9.5,8.9,7.5,9.5,8.125,7.75,10.0,,
1248,ALUNO-1248,2020,Rede Decisão/União,1,3,3,G,Não,8.443,Ametista,9.167,9.2,6.875,7.667,8.542,8.056,10.0,,
1249,ALUNO-1249,2020,Rede Decisão/União,1,3,5,F,Sim,8.006,Ametista,9.167,7.9,6.25,6.0,8.594,9.125,10.0,,
1250,ALUNO-1250,2020,Escola Pública,0,1,3,R,Não,6.485,Ágata,6.667,5.0,7.5,3.333,8.125,7.944,10.0,,
1251,ALUNO-1251,2020,Escola Pública,0,0,3,M,Não,7.614,Ametista,9.167,6.7,10.0,7.667,7.656,7.792,5.0,,
1252,ALUNO-1252,2020,Escola Pública,0,2,6,B,Não,5.802,Quartzo,0.0,6.5,7.5,3.167,7.188,7.0,10.0,,
1253,ALUNO-1253,2020,Escola Pública,0,1,0,G,Não,7.429,Ametista,8.5,10.0,5.625,10.0,2.5,6.333,5.0,,
1254,ALUNO-1254,2020,Escola Pública,0,2,2,D,Não,6.519,Ágata,8.5,3.5,6.875,8.0,7.812,7.0,5.0,,
1256,ALUNO-1256,2020,Escola Pública,0,2,4,A,Não,5.398,Quartzo,7.917,4.6,7.5,0.0,7.917,8.222,5.0,,
