ID,NOME,ANO_PESQUISA,INSTITUICAO_ENSINO_ALUNO,BOLSISTA,ANOS_PM,FASE,TURMA,PONTO_VIRADA,INDE,PEDRA,IAA,IEG,IPS,IDA,IPP,IPV,IAN,NIVEL_IDEAL,DEFASAGEM
84,ALUNO-84,2020,Escola Pública,0,0,0,B,Não,8.75,Topázio,9.0,10.0,10.0,8.5,7.5,7.0,10.0,,
85,ALUNO-85,2020,Escola Pública,0,1,0,D,Não,7.263,Ágata,9.5,9.9,2.5,10.0,2.5,6.667,5.0,,
86,ALUNO-86,2020,Escola Pública,0,1,6,A,Não,5.688,Quartzo,8.333,4.9,7.5,3.667,7.5,5.708,5.0,,
87,ALUNO-87,2020,Rede Decisão/União,1,4,4,L,Sim,8.189,Ametista,8.333,9.2,5.625,6.667,8.75,8.722,10.0,,
88,ALUNO-88,2020,Rede Decisão/União,1,2,2,D,Sim,9.04,Topázio,10.0,9.4,7.5,9.5,5.938,9.583,10.0,,
89,ALUNO-89,2020,Escola Pública,0,1,0,G,Não,7.938,Ametista,10.0,10.0,7.5,7.5,6.875,7.5,5.0,,
90,ALUNO-90,2020,Escola Pública,0,1,3,M,Não,7.074,Ágata,8.333,5.8,7.5,7.667,7.969,7.5,5.0,,
91,ALUNO-91,2020,Escola Pública,0,2,2,H,Não,6.847,Ágata,9.0,6.4,6.875,4.5,5.625,7.583,10.0,,
94,ALUNO-94,2020,Escola Pública,0,1,3,B,Não,6.755,Ágata,7.083,6.0,7.5,4.0,7.969,7.5,10.0,,
95,ALUNO-95,2020,Escola Pública,0,1,3,A,Não,7.337,Ametista,9.583,8.2,7.5,6.667,7.969,6.792,5.0,,
96,ALUNO-96,2020,Escola Pública,0,1,7,A,Sim,6.433,Ágata,9.167,6.1,6.875,3.0,7.5,8.792,5.0,,
97,ALUNO-97,2020,Escola Pública,0,2,2,D,Não,7.394,Ametista,9.5,8.0,7.5,6.0,8.438,7.75,5.0,,
100,ALUNO-100,2020,Escola Pública,0,2,1,M,Não,6.908,Ágata,9.0,6.5,4.375,7.5,6.875,7.917,5.0,,
102,ALUNO-102,2020,Escola Pública,0,0,1,J,Não,7.967,Ametista,8.0,8.5,7.5,7.0,7.5,7.833,10.0,,
103,ALUNO-103,2020,Escola Pública,0,0,0,F,Não,8.598,Topázio,9.0,10.0,7.5,8.5,7.812,7.333,10.0,,
105,ALUNO-105,2020,Escola Pública,0,0,3,B,Não,8.517,Topázio,9.167,9.6,7.5,8.0,7.969,7.667,10.0,,
106,ALUNO-106,2020,Escola Pública,0,0,0,H,Não,8.45,Ametista,9.5,10.0,7.5,10.0,7.5,7.5,5.0,,
111,ALUNO-111,2020,Escola Pública,0,0,3,L,Não,6.854,Ágata,7.917,7.7,7.5,4.5,7.969,7.875,5.0,,
112,ALUNO-112,2020,Escola Pública,0,2,3,H,Não,6.449,Ágata,7.917,6.8,4.375,5.333,7.708,7.611,5.0,,
113,ALUNO-113,2020,Escola Pública,0,1,1,M,Não,7.693,Ametista,8.5,8.8,7.5,7.5,7.5,7.917,5.0,,
115,ALUNO-115,2020,Escola Pública,0,1,4,A,Não,5.331,Quartzo,9.167,1.9,6.875,5.167,7.917,5.111,5.0,,
117,ALUNO-117,2020,Escola Pública,0,0,1,M,Não,8.032,Ametista,8.0,8.9,7.5,9.5,7.188,7.917,5.0,,
118,ALUNO-118,2020,Escola Pública,0,1,1,D,Não,8.342,Ametista,8.5,7.7,7.5,10.0,7.188,7.417,10.0,,
120,ALUNO-120,2020,Escola Pública,0,1,0,A,Não,7.896,Ametista,9.0,10.0,8.125,9.5,2.5,7.667,5.0,,
125,ALUNO-125,2020,Escola Pública,0,0,1,C,Não,7.188,Ágata,9.0,9.0,7.5,5.0,7.708,7.333,5.0,,
128,ALUNO-128,2020,Escola Pública,0,1,0,G,Não,5.854,Quartzo,7.417,10.0,5.625,5.5,2.5,3.5,5.0,,
132,ALUNO-132,2020,Escola Pública,0,3,4,F,Não,7.345,Ametista,8.75,6.5,7.5,6.0,8.281,6.958,10.0,,
133,ALUNO-133,2020,Escola Pública,0,1,0,D,Não,8.429,Ametista,10.0,9.8,7.5,10.0,7.188,7.5,5.0,,
135,ALUNO-135,2020,Escola Pública,0,1,1,A,Não,7.799,Ametista,9.0,8.4,7.5,6.5,7.188,7.25,10.0,,
136,ALUNO-136,2020,Escola Pública,0,2,5,A,Não,4.643,Quartzo,7.5,4.0,4.375,2.0,6.667,5.444,5.0,,
139,ALUNO-139,2020,Escola Pública,0,0,5,L,Não,6.106,Ágata,9.167,5.8,7.5,4.333,8.125,5.5,5.0,,
145,ALUNO-145,2020,Rede Decisão/União,1,1,7,B,Sim,8.345,Ametista,7.917,9.1,7.5,7.333,7.5,8.833,10.0,,
146,ALUNO-146,2020,Escola Pública,0,2,1,C,Não,6.386,Ágata,10.0,7.2,7.5,0.0,7.292,7.333,10.0,,
147,ALUNO-147,2020,Escola Pública,0,1,2,C,Não,5.935,Quartzo,9.0,8.0,7.5,0.0,7.292,7.278,5.0,,
149,ALUNO-149,2020,Escola Pública,0,1,6,B,Não,7.132,Ágata,7.5,8.7,5.625,3.0,8.125,8.333,10.0,,
151,ALUNO-151,2020,Escola Pública,0,1,1,R,Não,8.239,Ametista,9.5,9.5,7.5,7.5,9.167,8.611,5.0,,
152,ALUNO-152,2020,Rede Decisão/União,1,1,3,B,Não,7.964,Ametista,6.25,9.0,7.5,6.333,7.969,8.625,10.0,,
153,ALUNO-153,2020,Rede Decisão/União,1,3,4,F,Sim,8.168,Ametista,10.0,9.0,7.5,4.667,8.594,9.125,10.0,,
154,ALUNO-154,2020,Escola Pública,0,1,1,M,Não,5.885,Quartzo,8.5,7.1,7.5,0.0,7.812,7.917,5.0,,
156,ALUNO-156,2020,Rede Decisão/União,1,2,2,J,Não,7.111,Ágata,7.917,8.9,7.5,5.0,6.667,8.111,5.0,,
157,ALUNO-157,2020,Escola Pública,0,1,1,H,Não,7.177,Ágata,9.5,6.4,7.5,6.75,7.917,7.778,5.0,,
158,ALUNO-158,2020,Escola Pública,0,2,3,E,Não,6.065,Quartzo,9.167,5.9,3.75,5.0,7.708,6.611,5.0,,
160,ALUNO-160,2020,Escola Pública,0,2,1,H,Não,4.478,Quartzo,8.0,2.3,5.0,0.0,7.292,7.444,5.0,,
161,ALUNO-161,2020,Estácio,1,4,8,A,Não se Aplica,8.892,Ametista,7.917,10.0,7.5,9.0,0.0,0.0,10.0,,
162,ALUNO-162,2020,Escola Pública,0,2,1,B,Não,7.954,Ametista,8.5,8.8,7.5,8.5,8.438,7.75,5.0,,
163,ALUNO-163,2020,Escola Pública,0,3,1,G,Não,6.44,Ágata,7.5,8.2,5.0,6.25,2.5,7.75,5.0,,
164,ALUNO-164,2020,Escola Pública,0,1,1,D,Não,7.709,Ametista,9.5,8.7,7.5,7.5,7.188,7.75,5.0,,
165,ALUNO-165,2020,Escola Pública,0,1,0,G,Não,8.431,Ametista,9.0,10.0,7.5,10.0,7.812,7.5,5.0,,
168,ALUNO-168,2020,Escola Pública,0,1,1,J,Não,8.082,Ametista,10.0,8.8,7.5,8.5,7.5,8.111,5.0,,
169,ALUNO-169,2020,Escola Pública,0,0,0,E,Não,7.8,Ametista,9.0,10.0,5.0,10.0,2.5,5.75,10.0,,
173,ALUNO-173,2020,Escola Pública,0,4,5,G,Não,3.738,Quartzo,7.917,0.9,3.125,2.833,5.625,4.125,5.0,,
174,ALUNO-174,2020,Einstein,1,3,5,X,Não se Aplica,7.922,Ametista,9.167,10.0,5.625,7.2,0.0,0.0,10.0,,
183,ALUNO-183,2020,Escola Pública,0,2,0,E,Não,7.863,Ametista,9.0,10.0,8.125,10.0,2.5,7.0,5.0,,
184,ALUNO-184,2020,Escola Pública,0,2,1,H,Não,8.257,Ametista,10.0,8.3,7.5,7.5,7.917,7.778,10.0,,
186,ALUNO-186,2020,Escola Pública,0,0,3,J,Não,6.314,Ágata,8.75,5.8,7.5,5.667,8.125,6.667,2.5,,
187,ALUNO-187,2020,Escola Pública,0,0,2,G,Não,6.414,Ágata,8.5,8.0,7.5,0.0,7.917,7.111,10.0,,
188,ALUNO-188,2020,Escola Pública,0,2,3,C,Sim,7.744,Ametista,7.083,4.7,7.5,9.0,8.125,8.667,10.0,,
189,ALUNO-189,2020,Escola Pública,0,0,1,C,Não,7.256,Ágata,8.0,8.3,5.0,8.0,7.292,7.333,5.0,,
190,ALUNO-190,2020,Rede Decisão/União,1,3,7,B,Sim,8.734,Topázio,8.333,9.2,6.875,7.667,9.062,9.667,10.0,,
192,ALUNO-192,2020,Escola Pública,0,2,1,H,Não,4.855,Quartzo,7.417,5.1,5.0,0.0,6.042,7.444,5.0,,
193,ALUNO-193,2020,Escola Pública,0,4,3,F,Sim,8.539,Topázio,10.0,9.8,5.0,7.0,8.125,9.333,10.0,,
194,ALUNO-194,2020,Rede Decisão/União,1,3,6,A,Não,7.121,Ágata,8.333,8.3,6.875,6.333,7.656,7.042,5.0,,
197,ALUNO-197,2020,Escola Pública,0,1,3,F,Não,8.833,Topázio,8.333,9.6,7.5,8.667,8.958,8.5,10.0,,
198,ALUNO-198,2020,Escola Pública,0,3,6,A,Não,5.519,Quartzo,0.0,6.1,5.625,4.5,5.781,6.292,10.0,,
199,ALUNO-199,2020,Escola Pública,0,1,3,C,Não,6.659,Ágata,6.25,4.8,7.5,7.667,8.125,7.389,5.0,,
