NOME,INSTITUICAO_ENSINO_ALUNO_2021,FASE_2021,TURMA_2021,PONTO_VIRADA_2021,SINALIZADOR_INGRESSANTE_2021,INDE_2021,PEDRA_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,IPV_2021,IAN_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021
ALUNO-709,Escola Pública,1,R,Não,Ingressante,7.449,Ametista,8.5,8.3,7.5,5.8,8.5,8.4,5.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1
ALUNO-710,Rede Decisão,2,B,Não,Veterano,8.713,Topázio,9.5,9.2,7.5,8.3,8.3,8.4,10.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),0
ALUNO-713,Escola Pública,2,R,Não,Veterano,5.129,Quartzo,0.0,6.3,6.9,2.6,8.1,6.8,5.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-716,Escola Pública,2,G,Não,Veterano,6.911,Ametista,8.5,6.3,7.5,4.5,7.5,7.1,10.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0
ALUNO-717,Escola Pública,3,R,Não,Ingressante,5.494,Quartzo,8.8,4.7,7.5,3.3,7.1,5.3,5.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1
ALUNO-721,Escola Pública,2,I,Não,Veterano,5.029,Quartzo,9.5,3.8,5.6,2.5,6.7,5.5,5.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-722,Escola Pública,1,M,Sim,Ingressante,8.271,Topázio,10.0,10.0,7.5,6.9,8.1,9.2,5.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1
ALUNO-725,Escola Pública,2,M,Não,Veterano,2.767,Quartzo,0.0,0.4,7.5,0.0,7.5,3.4,5.0,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-726,Escola Pública,0,M,Não,Ingressante,5.981,Ágata,8.4,4.2,7.5,3.4,7.2,5.7,10.0,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0
ALUNO-729,Escola Pública,4,E,Não,Ingressante,5.686,Ágata,6.7,3.9,7.5,5.8,7.5,5.4,5.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Nível 5 (1o EM),-1
ALUNO-730,Rede Decisão,5,F,Não,Ingressante,5.69,Ágata,8.3,4.4,5.0,5.8,7.3,5.3,5.0,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Nível 6 (2o EM),-1
ALUNO-732,Rede Decisão,5,L,Não,Veterano,7.765,Ametista,7.9,6.4,7.5,8.0,8.1,7.7,10.0,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase,Nível 5 (1o EM),0
ALUNO-733,Rede Decisão,3,L,Não,Veterano,6.89,Ametista,8.8,6.4,6.3,4.4,7.7,7.3,10.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0
ALUNO-736,Escola Pública,0,N,Não,Ingressante,5.113,Quartzo,9.0,5.0,0.0,3.6,2.5,6.2,10.0,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0
ALUNO-737,Escola Pública,2,N,Não,Veterano,7.431,Ametista,9.0,7.1,7.5,6.9,8.5,8.1,5.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1
ALUNO-738,Rede Decisão,3,J,Não,Veterano,8.042,Ametista,9.2,7.8,6.3,8.1,7.5,7.9,10.0,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0
ALUNO-739,Rede Decisão,3,A,Sim,Veterano,8.085,Ametista,9.2,8.1,8.8,7.6,8.1,9.2,5.0,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 4 (9o ano),-1
ALUNO-740,Escola Pública,0,P,Não,Veterano,6.421,Ágata,9.0,5.8,7.5,4.2,7.5,7.6,5.0,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2
ALUNO-741,Escola Pública,5,B,Não,Ingressante,7.002,Ametista,8.8,4.4,7.5,6.2,8.0,7.3,10.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 5 (1o EM),0
