NOME,ANO_INGRESSO_2022,BOLSISTA_2022,FASE_2022,TURMA_2022,PONTO_VIRADA_2022,INDE_2022,PEDRA_2022,CG_2022,CF_2022,CT_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,IPV_2022,IAN_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,NIVEL_IDEAL_2022,INDICADO_BOLSA_2022
ALUNO-340,2018,False,5,C,Não,5.718,Quartzo,756,47,3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.333,6.074,7.5,2.494,6.875,6.167,5.0,4.667,2.567,0.25,4,Promovido de Fase,Mantido na Fase atual,Alocado em Fase anterior,Alocado em Fase anterior,Fase 6 (2º EM),False
ALUNO-342,2016,True,3,A,Sim,7.025,Ágata,481,61,13,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,0.0,8.826,4.375,6.278,8.75,8.458,10.0,6.167,5.333,7.333,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Fase 3 (7º e 8º ano),False
ALUNO-345,2019,False,1,J,Não,5.722,Quartzo,755,179,17,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.0,7.041,7.5,1.333,5.417,6.778,5.0,0.667,2.0,0.0,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Fase 2 (5º e 6º ano),False
ALUNO-347,2022,False,0,F,Não,7.387,Ametista,366,110,5,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.0,8.571,5.0,6.833,4.062,7.0,10.0,7.0,6.667,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-348,2019,False,1,J,Não,6.589,Ágata,630,153,13,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.5,8.815,7.5,3.667,6.042,6.944,5.0,3.333,4.0,0.0,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Fase 2 (5º e 6º ano),False
ALUNO-350,2022,False,0,K,Sim,8.481,Topázio,37,8,2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.5,8.608,7.5,9.067,5.625,8.417,10.0,9.367,8.767,0.0,2,Promovido de Fase + Bolsa,Mantido na Fase atual,,,ALFA  (2º e 3º ano),True
ALUNO-351,2022,False,2,F,Não,8.063,Topázio,129,17,3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,10.0,5.0,7.75,6.458,7.833,10.0,6.0,9.5,0.0,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Fase 2 (5º e 6º ano),False
ALUNO-352,2021,False,4,F,Não,6.607,Ágata,623,56,12,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75,6.775,7.5,4.667,7.188,7.375,5.0,4.667,6.833,2.5,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase,Fase 5 (1º EM),True
ALUNO-356,2022,False,0,K,Não,6.602,Ágata,626,169,9,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.0,5.833,4.375,7.917,5.312,6.917,5.0,7.767,8.067,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,Fase 1 (4º ano),False
ALUNO-357,2021,False,3,K,Não,6.361,Ágata,666,88,14,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.167,5.694,7.5,5.111,7.5,6.417,5.0,5.0,6.833,3.5,4,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Fase 4 (9º ano),False
