NOME,ANO_INGRESSO_2022,BOLSISTA_2022,FASE_2022,TURMA_2022,PONTO_VIRADA_2022,INDE_2022,PEDRA_2022,CG_2022,CF_2022,CT_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,IPV_2022,IAN_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,NIVEL_IDEAL_2022,INDICADO_BOLSA_2022
ALUNO-2,2022,False,0,K,Não,7.676,Ametista,245,66,6,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,7.582,7.5,8.817,5.625,7.917,5.0,8.2,9.433,0.0,2,Mantido na Fase + Bolsa,Mantido na Fase atual,,,Fase 2 (5º e 6º ano),True
ALUNO-4,2022,False,2,J,Não,7.117,Ametista,451,69,3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,8.071,7.5,5.083,6.25,8.056,5.0,5.0,5.167,0.0,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,Fase 3 (7º e 8º ano),False
ALUNO-5,2019,False,2,L,Não,7.232,Ametista,415,61,12,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.417,8.558,7.5,7.083,6.458,7.833,5.0,6.667,7.5,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 3 (7º e 8º ano),False
ALUNO-6,2022,False,2,K,Não,7.742,Ametista,221,35,2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.0,9.333,7.5,5.5,6.25,7.5,10.0,3.0,8.0,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 2 (5º e 6º ano),False
ALUNO-7,2022,False,1,U,Não,7.407,Ametista,357,93,7,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.315,7.5,5.583,5.938,7.917,5.0,4.667,6.5,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 2 (5º e 6º ano),False
ALUNO-8,2017,True,5,K,Não,7.29,Ametista,397,26,6,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.167,8.268,5.0,7.144,7.656,7.625,5.0,6.5,7.667,7.267,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Fase 6 (2º EM),False
ALUNO-9,2022,False,0,Z,Não,5.666,Quartzo,767,184,9,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.0,6.82,5.0,2.133,3.75,5.5,10.0,2.467,1.8,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-11,2020,True,1,A,Sim,8.465,Topázio,40,5,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,9.198,7.5,9.833,7.083,9.5,5.0,10.0,9.667,0.0,3,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,,Fase 2 (5º e 6º ano),False
ALUNO-16,2022,False,1,P,Não,6.996,Ágata,489,129,9,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.5,9.339,6.875,6.333,4.792,6.722,5.0,5.5,7.167,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 2 (5º e 6º ano),False
ALUNO-17,2018,False,1,G,Não,6.723,Ágata,580,142,6,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.5,6.648,7.5,5.5,5.938,7.5,5.0,4.333,6.667,0.0,2,Mantido na Fase atual,Promovido de Fase,,,Fase 3 (7º e 8º ano),False
ALUNO-18,2017,False,4,H,Não,5.846,Quartzo,746,68,7,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,6.288,8.125,5.222,7.812,7.25,5.0,3.0,4.833,7.833,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Fase 6 (2º EM),True
ALUNO-19,2021,False,2,Q,Não,7.843,Ametista,188,29,2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.055,7.5,7.467,6.667,8.111,5.0,6.767,8.167,0.0,3,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,,Fase 3 (7º e 8º ano),False
ALUNO-20,2022,False,0,Z,Sim,8.616,Topázio,28,3,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.552,7.5,8.467,5.625,8.5,10.0,8.767,8.167,0.0,2,Promovido de Fase,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-21,2022,False,3,N,Não,5.652,Quartzo,771,114,13,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.917,5.649,5.0,5.167,7.031,6.222,2.5,5.0,6.167,4.333,3,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,,Fase 6 (2º EM),False
ALUNO-22,2022,False,0,Z,Não,8.098,Topázio,116,32,7,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,8.982,7.5,9.25,4.688,7.167,10.0,9.533,8.967,0.0,2,Promovido de Fase,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-23,2022,False,1,U,Não,7.783,Ametista,208,51,3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,7.799,7.5,9.25,6.562,8.333,5.0,9.5,9.0,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 2 (5º e 6º ano),False
ALUNO-24,2022,False,2,A,Sim,8.27,Topázio,66,6,1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.321,6.875,6.75,6.458,8.611,10.0,6.333,7.167,0.0,3,Mantido na Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,,Fase 2 (5º e 6º ano),True
ALUNO-25,2022,False,0,Y,Não,7.952,Ametista,154,42,3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,8.346,7.5,9.1,3.125,8.25,10.0,9.133,9.067,0.0,2,Promovido de Fase,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-26,2022,False,0,F,Não,7.738,Ametista,224,60,2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.0,8.721,7.5,9.167,5.938,7.083,5.0,9.167,9.167,0.0,2,Promovido de Fase,Mantido na Fase atual,,,Fase 1 (4º ano),False
ALUNO-27,2022,False,2,M,Não,6.35,Ágata,668,122,9,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.0,6.494,7.5,4.583,5.625,7.111,5.0,2.333,6.833,0.0,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Fase 4 (9º ano),False
ALUNO-29,2021,False,3,C,Não,4.936,Quartzo,827,129,5,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4.832,7.5,5.778,6.719,5.708,2.5,5.333,4.0,8.0,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Fase 6 (2º EM),False
ALUNO-30,2022,False,0,K,Não,8.084,Topázio,122,34,5,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.005,7.5,9.1,5.625,8.25,5.0,9.6,8.6,0.0,2,Promovido de Fase + Bolsa,Mantido na Fase atual,,,Fase 1 (4º ano),True
ALUNO-31,2022,False,0,V,Não,7.263,Ametista,408,119,6,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.917,7.318,7.5,7.467,5.312,6.667,10.0,7.6,7.333,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,ALFA  (2º e 3º ano),False
ALUNO-32,2022,False,7,D,Não,6.793,Ágata,558,12,7,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.917,8.333,7.5,4.0,7.344,7.75,5.0,8.0,0.0,0.0,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Fase 8 (Universitários),True
ALUNO-34,2018,False,3,C,Não,6.667,Ágata,599,78,4,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,7.056,7.5,6.111,7.5,6.417,5.0,5.0,7.5,5.833,4,Promovido de Fase,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Fase 4 (9º ano),False
ALUNO-36,2019,False,4,B,Não,6.854,Ágata,538,46,8,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.833,8.075,6.25,5.878,7.969,7.792,5.0,5.0,7.167,5.467,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Fase 6 (2º EM),True
ALUNO-37,2018,False,2,L,Não,7.556,Ametista,292,45,8,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.5,9.042,7.5,7.333,6.25,7.778,5.0,6.5,8.167,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 3 (7º e 8º ano),False
ALUNO-38,2021,False,3,K,Não,6.695,Ágata,590,77,11,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.167,6.722,6.25,5.667,7.344,7.208,5.0,7.0,6.833,3.167,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase + Bolsa,Fase 4 (9º ano),True
ALUNO-42,2021,False,0,E,Não,4.28,Quartzo,849,189,5,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.0,3.149,7.5,2.5,0.0,2.5,10.0,2.167,2.833,0.0,2,Não avaliado,Não avaliado,,,ALFA  (2º e 3º ano),False
ALUNO-45,2022,False,2,F,Não,6.731,Ágata,576,93,16,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.917,9.167,6.25,5.0,6.25,6.778,5.0,4.0,6.0,0.0,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Fase 3 (7º e 8º ano),False
ALUNO-46,2020,False,1,K,Não,7.398,Ametista,362,94,7,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.5,9.082,7.5,5.0,6.042,6.889,10.0,3.667,6.333,0.0,3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Fase 1 (4º ano),False
ALUNO-47,2021,False,1,C,Não,7.653,Ametista,254,66,4,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.5,10.0,7.5,7.417,6.25,7.222,5.0,7.333,7.5,0.0,3,Promovido de Fase,Promovido de Fase,Promovido de Fase,,Fase 2 (5º e 6º ano),False
ALUNO-48,2022,False,5,F,Não,3.915,Quartzo,855,59,4,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.417,3.804,6.25,0.0,5.625,4.625,5.0,0.0,0.0,0.0,4,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,Fase 6 (2º EM),False
ALUNO-49,2022,False,0,O,Sim,8.34,Topázio,54,14,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.5,10.0,7.5,8.167,6.562,9.25,5.0,7.833,8.5,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 1 (4º ano),False
ALUNO-50,2022,False,3,E,Não,4.966,Quartzo,823,128,12,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4.631,7.5,3.056,5.625,5.583,10.0,4.333,4.667,0.167,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,Fase 3 (7º e 8º ano),False
ALUNO-51,2019,False,1,F,Não,6.953,Ágata,504,131,6,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.0,9.203,7.5,5.083,5.625,6.917,5.0,4.667,5.5,0.0,2,Mantido na Fase atual,Promovido de Fase,,,Fase 2 (5º e 6º ano),False
ALUNO-56,2021,False,7,A,Não,3.037,Quartzo,861,23,15,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,3.598,5.0,0.444,3.281,4.5,5.0,0.5,0.833,0.0,4,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,Fase 8 (Universitários),False
ALUNO-58,2022,False,3,M,Não,7.305,Ametista,386,45,2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.917,7.991,7.5,6.889,8.125,7.375,5.0,5.333,7.667,7.667,4,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Fase 4 (9º ano),True
ALUNO-60,2016,False,7,A,Não,5.783,Quartzo,753,18,10,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.333,4.13,5.625,4.044,7.969,7.278,5.0,2.667,3.467,6.0,4,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,Fase 8 (Universitários),True
ALUNO-61,2020,False,2,U,Não,6.41,Ágata,658,119,11,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.0,7.788,7.5,2.5,6.25,7.389,5.0,2.0,3.0,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 3 (7º e 8º ano),False
ALUNO-63,2022,False,0,J,Não,6.684,Ágata,594,163,13,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.5,8.544,5.625,5.083,5.625,6.917,5.0,6.0,4.167,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,Fase 1 (4º ano),False
ALUNO-64,2022,False,3,M,Não,4.665,Quartzo,839,137,16,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75,3.611,7.5,2.833,4.844,3.833,5.0,5.667,2.667,0.167,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,Fase 5 (1º EM),False
ALUNO-65,2021,True,1,K,Sim,7.988,Ametista,146,37,3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.556,5.625,8.167,6.25,8.778,5.0,8.167,8.167,0.0,3,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,,Fase 2 (5º e 6º ano),False
ALUNO-66,2021,False,3,D,Não,7.172,Ametista,442,53,3,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.667,5.785,7.5,7.778,7.344,6.542,10.0,5.667,7.667,10.0,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Fase 3 (7º e 8º ano),False
ALUNO-67,2021,False,1,G,Não,6.77,Ágata,564,138,5,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.0,7.882,5.0,5.583,5.938,7.917,5.0,3.333,7.833,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 2 (5º e 6º ano),False
ALUNO-69,2022,False,0,M,Sim,7.598,Ametista,272,76,3,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,7.546,7.5,7.883,5.625,8.5,5.0,9.6,6.167,0.0,2,Promovido de Fase + Bolsa,Mantido na Fase atual,,,Fase 1 (4º ano),True
ALUNO-70,2022,False,2,D,Sim,8.206,Topázio,84,10,2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,8.833,7.5,6.5,6.667,8.611,10.0,7.0,6.0,0.0,3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,,Fase 2 (5º e 6º ano),False
ALUNO-72,2022,False,0,D,Não,7.729,Ametista,227,62,5,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,8.603,8.125,8.833,5.625,8.083,5.0,9.167,8.5,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 1 (4º ano),False
ALUNO-73,2022,False,4,L,Não,6.712,Ágata,586,54,13,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.333,6.993,7.5,6.5,6.719,6.292,5.0,4.0,7.0,8.5,4,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Fase 6 (2º EM),False
ALUNO-74,2022,False,4,B,Não,6.685,Ágata,593,55,10,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.917,6.25,6.875,6.111,7.5,7.417,5.0,4.667,6.667,7.0,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Fase 5 (1º EM),False
ALUNO-75,2019,True,5,L,Sim,9.442,Topázio,1,1,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.661,9.375,8.5,9.219,9.75,10.0,7.667,8.0,9.833,4,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Fase 3 (7º e 8º ano),False
ALUNO-76,2020,False,1,B,Não,8.306,Topázio,61,12,1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,9.42,7.5,7.167,5.833,8.278,10.0,7.333,7.0,0.0,3,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,,Fase 1 (4º ano),False
ALUNO-77,2021,False,0,I,Não,7.902,Ametista,169,46,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.0,8.237,8.75,8.333,5.625,8.25,5.0,8.667,8.0,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 2 (5º e 6º ano),False
ALUNO-78,2017,False,1,D,Não,7.604,Ametista,271,70,8,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.917,9.48,7.5,7.667,6.667,7.833,5.0,7.833,7.5,0.0,3,Promovido de Fase,Promovido de Fase,Promovido de Fase,,Fase 3 (7º e 8º ano),False
ALUNO-79,2022,False,3,F,Não,7.11,Ametista,452,55,9,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.583,7.464,7.5,3.667,7.344,7.208,10.0,4.0,4.0,3.0,4,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Fase 3 (7º e 8º ano),False
ALUNO-80,2022,False,2,K,Não,6.58,Ágata,633,110,9,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.833,9.296,5.625,4.25,6.25,7.5,5.0,3.0,5.5,0.0,3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Fase 3 (7º e 8º ano),False
ALUNO-81,2019,True,6,A,Sim,7.474,Ametista,327,10,10,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.333,7.403,8.125,6.656,7.5,8.833,5.0,9.0,3.133,7.833,4,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase,Fase 7 (3º EM),False
ALUNO-83,2016,True,5,A,Não,7.203,Ametista,429,27,3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.917,7.819,7.5,6.8,6.875,7.75,5.0,4.667,7.333,8.4,3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,,Fase 6 (2º EM),False
ALUNO-84,2021,False,1,A,Sim,7.502,Ametista,309,81,6,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.0,8.838,7.5,6.25,6.458,8.444,5.0,6.833,5.667,0.0,3,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,,Fase 2 (5º e 6º ano),True
ALUNO-85,2019,False,1,G,Sim,7.745,Ametista,218,56,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.5,9.744,5.0,7.583,5.625,8.833,5.0,7.333,7.833,0.0,2,Promovido de Fase,Promovido de Fase,,,Fase 2 (5º e 6º ano),False
ALUNO-87,2016,True,5,L,Não,6.645,Ágata,608,36,8,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.167,5.652,5.625,6.567,7.969,7.125,5.0,5.5,5.667,8.533,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Fase 6 (2º EM),False
ALUNO-88,2018,True,3,A,Sim,8.427,Topázio,44,12,4,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.583,9.118,5.625,6.878,8.906,9.083,10.0,5.133,6.833,8.667,4,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Fase 3 (7º e 8º ano),False
ALUNO-90,2019,False,5,C,Não,5.195,Quartzo,812,56,6,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.833,3.005,7.5,3.556,6.719,6.889,5.0,3.0,4.167,3.5,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Fase 6 (2º EM),False
ALUNO-91,2018,False,2,F,Não,7.413,Ametista,350,51,7,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.5,7.919,7.5,7.917,6.458,7.5,5.0,6.5,9.333,0.0,3,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,,Fase 3 (7º e 8º ano),False
ALUNO-92,2022,False,0,Q,Não,7.232,Ametista,416,123,3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.5,9.265,7.5,5.417,5.625,7.667,5.0,5.833,5.0,0.0,2,Mantido na Fase atual,Mantido na Fase atual,,,Fase 2 (5º e 6º ano),False
ALUNO-97,2018,False,3,D,Não,7.502,Ametista,310,35,1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.917,8.467,7.5,7.0,7.5,5.583,10.0,5.333,6.5,9.167,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Fase 3 (7º e 8º ano),False
ALUNO-98,2021,False,3,D,Não,7.397,Ametista,363,42,2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.917,8.521,7.5,7.056,7.812,7.292,5.0,6.333,7.167,7.667,4,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Fase 5 (1º EM),True
