NOME,INSTITUICAO_ENSINO_ALUNO_2020,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_2020,TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
ALUNO-37,Escola Pública,10,2,2,N,Não,6.679,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.0,7.7,4.375,2.5,6.458,7.778,10.0
ALUNO-39,Escola Pública,13,3,3,F,Não,8.131,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.25,9.4,7.5,8.333,8.542,6.778,10.0
ALUNO-41,Escola Pública,11,0,1,D,Não,7.46,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.0,8.3,7.5,7.25,7.5,7.75,5.0
ALUNO-43,Escola Pública,13,2,4,F,Não,7.805,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,7.5,7.5,7.0,7.969,8.042,10.0
ALUNO-44,Escola Pública,9,0,1,M,Não,6.218,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.0,6.8,7.5,0.0,6.25,7.917,10.0
ALUNO-45,Escola Pública,11,1,1,G,Não,6.631,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.5,1.0,7.5,10.0,7.812,7.75,5.0
ALUNO-46,Escola Pública,8,0,0,C,Não,6.967,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.5,10.0,7.5,0.0,7.5,7.583,10.0
ALUNO-51,Escola Pública,8,1,0,D,Não,8.956,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.5,9.8,7.5,10.0,8.125,7.417,10.0
ALUNO-52,Escola Pública,10,2,2,F,Não,8.181,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.0,8.6,6.25,7.0,7.917,8.222,10.0
ALUNO-53,Einstein,15,4,5,X,Não se Aplica,8.697,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.167,10.0,7.5,8.2,0.0,0.0,10.0
ALUNO-55,Rede Decisão/União,17,3,6,C,Sim,6.878,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0.0,9.0,7.5,6.333,8.281,8.667,5.0
ALUNO-57,Rede Decisão/União,16,2,6,B,Não,7.312,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.333,7.1,6.25,5.833,7.5,7.583,10.0
ALUNO-59,Escola Pública,13,0,3,E,Não,6.563,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75,3.6,7.5,6.0,7.292,6.444,10.0
ALUNO-60,Rede Decisão/União,17,4,5,F,Não,7.68,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.7,6.875,6.667,8.438,8.125,5.0
ALUNO-61,Escola Pública,10,0,1,N,Não,5.604,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.0,6.5,7.5,0.0,6.875,7.333,5.0
ALUNO-62,Escola Pública,12,0,2,L,Não,6.33,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.917,6.9,7.5,3.5,7.083,7.5,5.0
ALUNO-68,Escola Pública,10,0,1,F,Não,5.989,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.0,7.6,7.5,0.0,7.188,8.0,5.0
ALUNO-71,Escola Pública,10,1,0,A,Não,7.55,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.5,10.0,5.0,9.5,2.5,7.75,5.0
ALUNO-75,Rede Decisão/União,11,1,3,L,Sim,9.688,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.0,10.0,10.0,9.0,9.375,9.75,10.0
ALUNO-76,Escola Pública,7,0,0,B,Não,8.958,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.917,10.0,10.0,10.0,7.5,6.583,10.0
ALUNO-78,Escola Pública,10,3,1,A,Não,7.352,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.5,9.0,7.5,5.5,7.188,7.667,5.0
