municipio,uf,Cor ou raça,Sexo,Idade,habitantes
Embu-Guaçu,SP,Indígena,Mulheres,10 a 14 anos,3
Embu-Guaçu,SP,Indígena,Mulheres,15 a 19 anos,5
Embu-Guaçu,SP,Indígena,Mulheres,20 a 24 anos,2
Embu-Guaçu,SP,Indígena,Mulheres,25 a 29 anos,3
Embu-Guaçu,SP,Indígena,Mulheres,30 a 34 anos,4
Embu-Guaçu,SP,Indígena,Mulheres,35 a 39 anos,4
Embu-Guaçu,SP,Indígena,Mulheres,40 a 44 anos,5
Embu-Guaçu,SP,Indígena,Mulheres,45 a 49 anos,4
Embu-Guaçu,SP,Indígena,Mulheres,50 a 54 anos,4
Embu-Guaçu,SP,Indígena,Mulheres,55 a 59 anos,2
Embu-Guaçu,SP,Indígena,Mulheres,60 a 64 anos,3
Embu-Guaçu,SP,Indígena,Mulheres,65 a 69 anos,3
Embu-Guaçu,SP,Indígena,Mulheres,70 a 74 anos,2
Embu-Guaçu,SP,Indígena,Mulheres,75 a 79 anos,2
Embu-Guaçu,SP,Indígena,Mulheres,80 a 84 anos,1
Embu-Guaçu,SP,Indígena,Mulheres,85 a 89 anos,1
Embu-Guaçu,SP,Indígena,Mulheres,90 a 94 anos,1
Embu-Guaçu,SP,Indígena,Mulheres,95 a 99 anos,0
Embu-Guaçu,SP,Indígena,Mulheres,100 anos ou mais,0
